scf_total_energy_au,homo_energy_eV,lumo_energy_eV,homo_lumo_gap_eV,homo_minus1_energy_eV,lumo_plus1_energy_eV,dipole_x_debye,dipole_y_debye,dipole_z_debye,dipole_magnitude_debye,polarizability_iso_au,polarizability_aniso_au,max_mulliken_charge,min_mulliken_charge,sum_mulliken_charges,mol_mass_amu,num_atoms,num_electrons,spin_multiplicity,charge,scf_iterations,molecule
,,,,,,,,,,,,,,,,,,1,0,,1194_methanedimer20
,,,,,,,,,,,,,,,,,,1,0,,1195_ethenedimer09
,,,,,,,,,,,,,,,,,,1,0,,1196_ethenedimer10
,,,,,,,,,,,,,,,,,,1,0,,1197_ethenedimer12
,,,,,,,,,,,,,,,,,,1,0,,1198_ethenedimer15
,,,,,,,,,,,,,,,,,,1,0,,1199_ethenedimer20
,,,,,,,,,,,,,,,,,,1,0,,1200_benzenemethane09
,,,,,,,,,,,,,,,,,,1,0,,1201_benzenemethane10
,,,,,,,,,,,,,,,,,,1,0,,1202_benzenemethane12
,,,,,,,,,,,,,,,,,,1,0,,1203_benzenemethane15
,,,,,,,,,,,,,,,,,,1,0,,1204_benzenemethane20
,,,,,,,,,,,,,,,,,,1,0,,1205_benzenedimerstack09
,,,,,,,,,,,,,,,,,,1,0,,1206_benzenedimerstack10
,,,,,,,,,,,,,,,,,,1,0,,1207_benzenedimerstack12
,,,,,,,,,,,,,,,,,,1,0,,1208_benzenedimerstack15
,,,,,,,,,,,,,,,,,,1,0,,1209_benzenedimerstack20
,,,,,,,,,,,,,,,,,,1,0,,1210_pyrazinedimer09
,,,,,,,,,,,,,,,,,,1,0,,1211_pyrazinedimer10
,,,,,,,,,,,,,,,,,,1,0,,1212_pyrazinedimer12
,,,,,,,,,,,,,,,,,,1,0,,1213_pyrazinedimer15
,,,,,,,,,,,,,,,,,,1,0,,1214_pyrazinedimer20
,,,,,,,,,,,,,,,,,,1,0,,1215_uracildimerstack09
,,,,,,,,,,,,,,,,,,1,0,,1216_uracildimerstack10
,,,,,,,,,,,,,,,,,,1,0,,1217_uracildimerstack12
,,,,,,,,,,,,,,,,,,1,0,,1218_uracildimerstack15
,,,,,,,,,,,,,,,,,,1,0,,1219_uracildimerstack20
,,,,,,,,,,,,,,,,,,1,0,,1220_indolebenzenestack09
,,,,,,,,,,,,,,,,,,1,0,,1221_indolebenzenestack10
,,,,,,,,,,,,,,,,,,1,0,,1222_indolebenzenestack12
,,,,,,,,,,,,,,,,,,1,0,,1223_indolebenzenestack15
,,,,,,,,,,,,,,,,,,1,0,,1224_indolebenzenestack20
,,,,,,,,,,,,,,,,,,1,0,,1225_adeninethyminestack09
,,,,,,,,,,,,,,,,,,1,0,,1226_adeninethyminestack10
,,,,,,,,,,,,,,,,,,1,0,,1227_adeninethyminestack12
,,,,,,,,,,,,,,,,,,1,0,,1228_adeninethyminestack15
,,,,,,,,,,,,,,,,,,1,0,,1229_adeninethyminestack20
,,,,,,,,,,,,,,,,,,1,0,,1230_etheneethyne09
,,,,,,,,,,,,,,,,,,1,0,,1231_etheneethyne10
,,,,,,,,,,,,,,,,,,1,0,,1232_etheneethyne12
,,,,,,,,,,,,,,,,,,1,0,,1233_etheneethyne15
,,,,,,,,,,,,,,,,,,1,0,,1234_etheneethyne20
,,,,,,,,,,,,,,,,,,1,0,,1235_benzenewater09
,,,,,,,,,,,,,,,,,,1,0,,1236_benzenewater10
,,,,,,,,,,,,,,,,,,1,0,,1237_benzenewater12
,,,,,,,,,,,,,,,,,,1,0,,1238_benzenewater15
,,,,,,,,,,,,,,,,,,1,0,,1239_benzenewater20
,,,,,,,,,,,,,,,,,,1,0,,1240_benzeneammonia09
,,,,,,,,,,,,,,,,,,1,0,,1241_benzeneammonia10
,,,,,,,,,,,,,,,,,,1,0,,1242_benzeneammonia12
,,,,,,,,,,,,,,,,,,1,0,,1243_benzeneammonia15
,,,,,,,,,,,,,,,,,,1,0,,1244_benzeneammonia20
,,,,,,,,,,,,,,,,,,1,0,,1245_benzeneHCN09
,,,,,,,,,,,,,,,,,,1,0,,1246_benzeneHCN10
,,,,,,,,,,,,,,,,,,1,0,,1247_benzeneHCN12
,,,,,,,,,,,,,,,,,,1,0,,1248_benzeneHCN15
,,,,,,,,,,,,,,,,,,1,0,,1249_benzeneHCN20
,,,,,,,,,,,,,,,,,,1,0,,1250_benzenedimerTshape09
,,,,,,,,,,,,,,,,,,1,0,,1251_benzenedimerTshape10
,,,,,,,,,,,,,,,,,,1,0,,1252_benzenedimerTshape12
,,,,,,,,,,,,,,,,,,1,0,,1253_benzenedimerTshape15
,,,,,,,,,,,,,,,,,,1,0,,1254_benzenedimerTshape20
,,,,,,,,,,,,,,,,,,1,0,,1255_indolebenzeneTshape09
,,,,,,,,,,,,,,,,,,1,0,,1256_indolebenzeneTshape10
,,,,,,,,,,,,,,,,,,1,0,,1257_indolebenzeneTshape12
,,,,,,,,,,,,,,,,,,1,0,,1258_indolebenzeneTshape15
,,,,,,,,,,,,,,,,,,1,0,,1259_indolebenzeneTshape20
,,,,,,,,,,,,,,,,,,1,0,,1260_phenoldimer09
,,,,,,,,,,,,,,,,,,1,0,,1261_phenoldimer10
,,,,,,,,,,,,,,,,,,1,0,,1262_phenoldimer12
,,,,,,,,,,,,,,,,,,1,0,,1263_phenoldimer15
,,,,,,,,,,,,,,,,,,1,0,,1264_phenoldimer20
,,,,,,,,,,,,,,,,,,1,0,,2699_01WaterWater090
,,,,,,,,,,,,,,,,,,1,0,,2700_01WaterWater095
,,,,,,,,,,,,,,,,,,1,0,,2701_01WaterWater100
,,,,,,,,,,,,,,,,,,1,0,,2702_01WaterWater105
,,,,,,,,,,,,,,,,,,1,0,,2703_01WaterWater110
,,,,,,,,,,,,,,,,,,1,0,,2704_01WaterWater125
,,,,,,,,,,,,,,,,,,1,0,,2705_01WaterWater150
,,,,,,,,,,,,,,,,,,1,0,,2706_01WaterWater200
,,,,,,,,,,,,,,,,,,1,0,,2707_02WaterMeOH090
,,,,,,,,,,,,,,,,,,1,0,,2708_02WaterMeOH095
,,,,,,,,,,,,,,,,,,1,0,,2709_02WaterMeOH100
,,,,,,,,,,,,,,,,,,1,0,,2710_02WaterMeOH105
,,,,,,,,,,,,,,,,,,1,0,,2711_02WaterMeOH110
,,,,,,,,,,,,,,,,,,1,0,,2712_02WaterMeOH125
,,,,,,,,,,,,,,,,,,1,0,,2713_02WaterMeOH150
,,,,,,,,,,,,,,,,,,1,0,,2714_02WaterMeOH200
,,,,,,,,,,,,,,,,,,1,0,,2715_03WaterMeNH2090
,,,,,,,,,,,,,,,,,,1,0,,2716_03WaterMeNH2095
,,,,,,,,,,,,,,,,,,1,0,,2717_03WaterMeNH2100
,,,,,,,,,,,,,,,,,,1,0,,2718_03WaterMeNH2105
,,,,,,,,,,,,,,,,,,1,0,,2719_03WaterMeNH2110
,,,,,,,,,,,,,,,,,,1,0,,2720_03WaterMeNH2125
,,,,,,,,,,,,,,,,,,1,0,,2721_03WaterMeNH2150
,,,,,,,,,,,,,,,,,,1,0,,2722_03WaterMeNH2200
,,,,,,,,,,,,,,,,,,1,0,,2723_04WaterPeptide090
,,,,,,,,,,,,,,,,,,1,0,,2724_04WaterPeptide095
,,,,,,,,,,,,,,,,,,1,0,,2725_04WaterPeptide100
,,,,,,,,,,,,,,,,,,1,0,,2726_04WaterPeptide105
,,,,,,,,,,,,,,,,,,1,0,,2727_04WaterPeptide110
,,,,,,,,,,,,,,,,,,1,0,,2728_04WaterPeptide125
,,,,,,,,,,,,,,,,,,1,0,,2729_04WaterPeptide150
,,,,,,,,,,,,,,,,,,1,0,,2730_04WaterPeptide200
,,,,,,,,,,,,,,,,,,1,0,,2731_05MeOHMeOH090
,,,,,,,,,,,,,,,,,,1,0,,2732_05MeOHMeOH095
,,,,,,,,,,,,,,,,,,1,0,,2733_05MeOHMeOH100
,,,,,,,,,,,,,,,,,,1,0,,2734_05MeOHMeOH105
,,,,,,,,,,,,,,,,,,1,0,,2735_05MeOHMeOH110
,,,,,,,,,,,,,,,,,,1,0,,2736_05MeOHMeOH125
,,,,,,,,,,,,,,,,,,1,0,,2737_05MeOHMeOH150
,,,,,,,,,,,,,,,,,,1,0,,2738_05MeOHMeOH200
,,,,,,,,,,,,,,,,,,1,0,,2739_06MeOHMeNH2090
,,,,,,,,,,,,,,,,,,1,0,,2740_06MeOHMeNH2095
,,,,,,,,,,,,,,,,,,1,0,,2741_06MeOHMeNH2100
,,,,,,,,,,,,,,,,,,1,0,,2742_06MeOHMeNH2105
,,,,,,,,,,,,,,,,,,1,0,,2743_06MeOHMeNH2110
,,,,,,,,,,,,,,,,,,1,0,,2744_06MeOHMeNH2125
,,,,,,,,,,,,,,,,,,1,0,,2745_06MeOHMeNH2150
,,,,,,,,,,,,,,,,,,1,0,,2746_06MeOHMeNH2200
,,,,,,,,,,,,,,,,,,1,0,,2747_07MeOHPeptide090
,,,,,,,,,,,,,,,,,,1,0,,2748_07MeOHPeptide095
,,,,,,,,,,,,,,,,,,1,0,,2749_07MeOHPeptide100
,,,,,,,,,,,,,,,,,,1,0,,2750_07MeOHPeptide105
,,,,,,,,,,,,,,,,,,1,0,,2751_07MeOHPeptide110
,,,,,,,,,,,,,,,,,,1,0,,2752_07MeOHPeptide125
,,,,,,,,,,,,,,,,,,1,0,,2753_07MeOHPeptide150
,,,,,,,,,,,,,,,,,,1,0,,2754_07MeOHPeptide200
,,,,,,,,,,,,,,,,,,1,0,,2755_08MeOHWater090
,,,,,,,,,,,,,,,,,,1,0,,2756_08MeOHWater095
,,,,,,,,,,,,,,,,,,1,0,,2757_08MeOHWater100
,,,,,,,,,,,,,,,,,,1,0,,2758_08MeOHWater105
,,,,,,,,,,,,,,,,,,1,0,,2759_08MeOHWater110
,,,,,,,,,,,,,,,,,,1,0,,2760_08MeOHWater125
,,,,,,,,,,,,,,,,,,1,0,,2761_08MeOHWater150
,,,,,,,,,,,,,,,,,,1,0,,2762_08MeOHWater200
,,,,,,,,,,,,,,,,,,1,0,,2763_09MeNH2MeOH090
,,,,,,,,,,,,,,,,,,1,0,,2764_09MeNH2MeOH095
,,,,,,,,,,,,,,,,,,1,0,,2765_09MeNH2MeOH100
,,,,,,,,,,,,,,,,,,1,0,,2766_09MeNH2MeOH105
,,,,,,,,,,,,,,,,,,1,0,,2767_09MeNH2MeOH110
,,,,,,,,,,,,,,,,,,1,0,,2768_09MeNH2MeOH125
,,,,,,,,,,,,,,,,,,1,0,,2769_09MeNH2MeOH150
,,,,,,,,,,,,,,,,,,1,0,,2770_09MeNH2MeOH200
,,,,,,,,,,,,,,,,,,1,0,,2771_10MeNH2MeNH2090
,,,,,,,,,,,,,,,,,,1,0,,2772_10MeNH2MeNH2095
,,,,,,,,,,,,,,,,,,1,0,,2773_10MeNH2MeNH2100
,,,,,,,,,,,,,,,,,,1,0,,2774_10MeNH2MeNH2105
,,,,,,,,,,,,,,,,,,1,0,,2775_10MeNH2MeNH2110
,,,,,,,,,,,,,,,,,,1,0,,2776_10MeNH2MeNH2125
,,,,,,,,,,,,,,,,,,1,0,,2777_10MeNH2MeNH2150
,,,,,,,,,,,,,,,,,,1,0,,2778_10MeNH2MeNH2200
,,,,,,,,,,,,,,,,,,1,0,,2779_11MeNH2Peptide090
,,,,,,,,,,,,,,,,,,1,0,,2780_11MeNH2Peptide095
,,,,,,,,,,,,,,,,,,1,0,,2781_11MeNH2Peptide100
,,,,,,,,,,,,,,,,,,1,0,,2782_11MeNH2Peptide105
,,,,,,,,,,,,,,,,,,1,0,,2783_11MeNH2Peptide110
,,,,,,,,,,,,,,,,,,1,0,,2784_11MeNH2Peptide125
,,,,,,,,,,,,,,,,,,1,0,,2785_11MeNH2Peptide150
,,,,,,,,,,,,,,,,,,1,0,,2786_11MeNH2Peptide200
,,,,,,,,,,,,,,,,,,1,0,,2787_12MeNH2Water090
,,,,,,,,,,,,,,,,,,1,0,,2788_12MeNH2Water095
,,,,,,,,,,,,,,,,,,1,0,,2789_12MeNH2Water100
,,,,,,,,,,,,,,,,,,1,0,,2790_12MeNH2Water105
,,,,,,,,,,,,,,,,,,1,0,,2791_12MeNH2Water110
,,,,,,,,,,,,,,,,,,1,0,,2792_12MeNH2Water125
,,,,,,,,,,,,,,,,,,1,0,,2793_12MeNH2Water150
,,,,,,,,,,,,,,,,,,1,0,,2794_12MeNH2Water200
,,,,,,,,,,,,,,,,,,1,0,,2795_13PeptideMeOH090
,,,,,,,,,,,,,,,,,,1,0,,2796_13PeptideMeOH095
,,,,,,,,,,,,,,,,,,1,0,,2797_13PeptideMeOH100
,,,,,,,,,,,,,,,,,,1,0,,2798_13PeptideMeOH105
,,,,,,,,,,,,,,,,,,1,0,,2799_13PeptideMeOH110
,,,,,,,,,,,,,,,,,,1,0,,2800_13PeptideMeOH125
,,,,,,,,,,,,,,,,,,1,0,,2801_13PeptideMeOH150
,,,,,,,,,,,,,,,,,,1,0,,2802_13PeptideMeOH200
,,,,,,,,,,,,,,,,,,1,0,,2803_14PeptideMeNH2090
,,,,,,,,,,,,,,,,,,1,0,,2804_14PeptideMeNH2095
,,,,,,,,,,,,,,,,,,1,0,,2805_14PeptideMeNH2100
,,,,,,,,,,,,,,,,,,1,0,,2806_14PeptideMeNH2105
,,,,,,,,,,,,,,,,,,1,0,,2807_14PeptideMeNH2110
,,,,,,,,,,,,,,,,,,1,0,,2808_14PeptideMeNH2125
,,,,,,,,,,,,,,,,,,1,0,,2809_14PeptideMeNH2150
,,,,,,,,,,,,,,,,,,1,0,,2810_14PeptideMeNH2200
,,,,,,,,,,,,,,,,,,1,0,,2811_15PeptidePeptide090
,,,,,,,,,,,,,,,,,,1,0,,2812_15PeptidePeptide095
,,,,,,,,,,,,,,,,,,1,0,,2813_15PeptidePeptide100
,,,,,,,,,,,,,,,,,,1,0,,2814_15PeptidePeptide105
,,,,,,,,,,,,,,,,,,1,0,,2815_15PeptidePeptide110
,,,,,,,,,,,,,,,,,,1,0,,2816_15PeptidePeptide125
,,,,,,,,,,,,,,,,,,1,0,,2817_15PeptidePeptide150
,,,,,,,,,,,,,,,,,,1,0,,2818_15PeptidePeptide200
,,,,,,,,,,,,,,,,,,1,0,,2819_16PeptideWater090
,,,,,,,,,,,,,,,,,,1,0,,2820_16PeptideWater095
,,,,,,,,,,,,,,,,,,1,0,,2821_16PeptideWater100
,,,,,,,,,,,,,,,,,,1,0,,2822_16PeptideWater105
,,,,,,,,,,,,,,,,,,1,0,,2823_16PeptideWater110
,,,,,,,,,,,,,,,,,,1,0,,2824_16PeptideWater125
,,,,,,,,,,,,,,,,,,1,0,,2825_16PeptideWater150
,,,,,,,,,,,,,,,,,,1,0,,2826_16PeptideWater200
,,,,,,,,,,,,,,,,,,1,0,,2827_17UracilUracilBP090
,,,,,,,,,,,,,,,,,,1,0,,2828_17UracilUracilBP095
,,,,,,,,,,,,,,,,,,1,0,,2829_17UracilUracilBP100
,,,,,,,,,,,,,,,,,,1,0,,2830_17UracilUracilBP105
,,,,,,,,,,,,,,,,,,1,0,,2831_17UracilUracilBP110
,,,,,,,,,,,,,,,,,,1,0,,2832_17UracilUracilBP125
,,,,,,,,,,,,,,,,,,1,0,,2833_17UracilUracilBP150
,,,,,,,,,,,,,,,,,,1,0,,2834_17UracilUracilBP200
,,,,,,,,,,,,,,,,,,1,0,,2835_18WaterPyridine090
,,,,,,,,,,,,,,,,,,1,0,,2836_18WaterPyridine095
,,,,,,,,,,,,,,,,,,1,0,,2837_18WaterPyridine100
,,,,,,,,,,,,,,,,,,1,0,,2838_18WaterPyridine105
,,,,,,,,,,,,,,,,,,1,0,,2839_18WaterPyridine110
,,,,,,,,,,,,,,,,,,1,0,,2840_18WaterPyridine125
,,,,,,,,,,,,,,,,,,1,0,,2841_18WaterPyridine150
,,,,,,,,,,,,,,,,,,1,0,,2842_18WaterPyridine200
,,,,,,,,,,,,,,,,,,1,0,,2843_19MeOHPyridine090
,,,,,,,,,,,,,,,,,,1,0,,2844_19MeOHPyridine095
,,,,,,,,,,,,,,,,,,1,0,,2845_19MeOHPyridine100
,,,,,,,,,,,,,,,,,,1,0,,2846_19MeOHPyridine105
,,,,,,,,,,,,,,,,,,1,0,,2847_19MeOHPyridine110
,,,,,,,,,,,,,,,,,,1,0,,2848_19MeOHPyridine125
,,,,,,,,,,,,,,,,,,1,0,,2849_19MeOHPyridine150
,,,,,,,,,,,,,,,,,,1,0,,2850_19MeOHPyridine200
,,,,,,,,,,,,,,,,,,1,0,,2851_20AcOHAcOH090
,,,,,,,,,,,,,,,,,,1,0,,2852_20AcOHAcOH095
,,,,,,,,,,,,,,,,,,1,0,,2853_20AcOHAcOH100
,,,,,,,,,,,,,,,,,,1,0,,2854_20AcOHAcOH105
,,,,,,,,,,,,,,,,,,1,0,,2855_20AcOHAcOH110
,,,,,,,,,,,,,,,,,,1,0,,2856_20AcOHAcOH125
,,,,,,,,,,,,,,,,,,1,0,,2857_20AcOHAcOH150
,,,,,,,,,,,,,,,,,,1,0,,2858_20AcOHAcOH200
,,,,,,,,,,,,,,,,,,1,0,,2859_21AcNH2AcNH2090
,,,,,,,,,,,,,,,,,,1,0,,2860_21AcNH2AcNH2095
,,,,,,,,,,,,,,,,,,1,0,,2861_21AcNH2AcNH2100
,,,,,,,,,,,,,,,,,,1,0,,2862_21AcNH2AcNH2105
,,,,,,,,,,,,,,,,,,1,0,,2863_21AcNH2AcNH2110
,,,,,,,,,,,,,,,,,,1,0,,2864_21AcNH2AcNH2125
,,,,,,,,,,,,,,,,,,1,0,,2865_21AcNH2AcNH2150
,,,,,,,,,,,,,,,,,,1,0,,2866_21AcNH2AcNH2200
,,,,,,,,,,,,,,,,,,1,0,,2867_22AcOHUracil090
,,,,,,,,,,,,,,,,,,1,0,,2868_22AcOHUracil095
,,,,,,,,,,,,,,,,,,1,0,,2869_22AcOHUracil100
,,,,,,,,,,,,,,,,,,1,0,,2870_22AcOHUracil105
,,,,,,,,,,,,,,,,,,1,0,,2871_22AcOHUracil110
,,,,,,,,,,,,,,,,,,1,0,,2872_22AcOHUracil125
,,,,,,,,,,,,,,,,,,1,0,,2873_22AcOHUracil150
,,,,,,,,,,,,,,,,,,1,0,,2874_22AcOHUracil200
,,,,,,,,,,,,,,,,,,1,0,,2875_23AcNH2Uracil090
,,,,,,,,,,,,,,,,,,1,0,,2876_23AcNH2Uracil095
,,,,,,,,,,,,,,,,,,1,0,,2877_23AcNH2Uracil100
,,,,,,,,,,,,,,,,,,1,0,,2878_23AcNH2Uracil105
,,,,,,,,,,,,,,,,,,1,0,,2879_23AcNH2Uracil110
,,,,,,,,,,,,,,,,,,1,0,,2880_23AcNH2Uracil125
,,,,,,,,,,,,,,,,,,1,0,,2881_23AcNH2Uracil150
,,,,,,,,,,,,,,,,,,1,0,,2882_23AcNH2Uracil200
,,,,,,,,,,,,,,,,,,1,0,,2883_24BenzeneBenzenepipi090
,,,,,,,,,,,,,,,,,,1,0,,2884_24BenzeneBenzenepipi095
,,,,,,,,,,,,,,,,,,1,0,,2885_24BenzeneBenzenepipi100
,,,,,,,,,,,,,,,,,,1,0,,2886_24BenzeneBenzenepipi105
,,,,,,,,,,,,,,,,,,1,0,,2887_24BenzeneBenzenepipi110
,,,,,,,,,,,,,,,,,,1,0,,2888_24BenzeneBenzenepipi125
,,,,,,,,,,,,,,,,,,1,0,,2889_24BenzeneBenzenepipi150
,,,,,,,,,,,,,,,,,,1,0,,2890_24BenzeneBenzenepipi200
,,,,,,,,,,,,,,,,,,1,0,,2891_25PyridinePyridinepipi090
,,,,,,,,,,,,,,,,,,1,0,,2892_25PyridinePyridinepipi095
,,,,,,,,,,,,,,,,,,1,0,,2893_25PyridinePyridinepipi100
,,,,,,,,,,,,,,,,,,1,0,,2894_25PyridinePyridinepipi105
,,,,,,,,,,,,,,,,,,1,0,,2895_25PyridinePyridinepipi110
,,,,,,,,,,,,,,,,,,1,0,,2896_25PyridinePyridinepipi125
,,,,,,,,,,,,,,,,,,1,0,,2897_25PyridinePyridinepipi150
,,,,,,,,,,,,,,,,,,1,0,,2898_25PyridinePyridinepipi200
,,,,,,,,,,,,,,,,,,1,0,,2899_26UracilUracilpipi090
,,,,,,,,,,,,,,,,,,1,0,,2900_26UracilUracilpipi095
,,,,,,,,,,,,,,,,,,1,0,,2901_26UracilUracilpipi100
,,,,,,,,,,,,,,,,,,1,0,,2902_26UracilUracilpipi105
,,,,,,,,,,,,,,,,,,1,0,,2903_26UracilUracilpipi110
,,,,,,,,,,,,,,,,,,1,0,,2904_26UracilUracilpipi125
,,,,,,,,,,,,,,,,,,1,0,,2905_26UracilUracilpipi150
,,,,,,,,,,,,,,,,,,1,0,,2906_26UracilUracilpipi200
,,,,,,,,,,,,,,,,,,1,0,,2907_27BenzenePyridinepipi090
,,,,,,,,,,,,,,,,,,1,0,,2908_27BenzenePyridinepipi095
,,,,,,,,,,,,,,,,,,1,0,,2909_27BenzenePyridinepipi100
,,,,,,,,,,,,,,,,,,1,0,,2910_27BenzenePyridinepipi105
,,,,,,,,,,,,,,,,,,1,0,,2911_27BenzenePyridinepipi110
,,,,,,,,,,,,,,,,,,1,0,,2912_27BenzenePyridinepipi125
,,,,,,,,,,,,,,,,,,1,0,,2913_27BenzenePyridinepipi150
,,,,,,,,,,,,,,,,,,1,0,,2914_27BenzenePyridinepipi200
,,,,,,,,,,,,,,,,,,1,0,,2915_28BenzeneUracilpipi090
,,,,,,,,,,,,,,,,,,1,0,,2916_28BenzeneUracilpipi095
,,,,,,,,,,,,,,,,,,1,0,,2917_28BenzeneUracilpipi100
,,,,,,,,,,,,,,,,,,1,0,,2918_28BenzeneUracilpipi105
,,,,,,,,,,,,,,,,,,1,0,,2919_28BenzeneUracilpipi110
,,,,,,,,,,,,,,,,,,1,0,,2920_28BenzeneUracilpipi125
,,,,,,,,,,,,,,,,,,1,0,,2921_28BenzeneUracilpipi150
,,,,,,,,,,,,,,,,,,1,0,,2922_28BenzeneUracilpipi200
,,,,,,,,,,,,,,,,,,1,0,,2923_29PyridineUracilpipi090
,,,,,,,,,,,,,,,,,,1,0,,2924_29PyridineUracilpipi095
,,,,,,,,,,,,,,,,,,1,0,,2925_29PyridineUracilpipi100
,,,,,,,,,,,,,,,,,,1,0,,2926_29PyridineUracilpipi105
,,,,,,,,,,,,,,,,,,1,0,,2927_29PyridineUracilpipi110
,,,,,,,,,,,,,,,,,,1,0,,2928_29PyridineUracilpipi125
,,,,,,,,,,,,,,,,,,1,0,,2929_29PyridineUracilpipi150
,,,,,,,,,,,,,,,,,,1,0,,2930_29PyridineUracilpipi200
,,,,,,,,,,,,,,,,,,1,0,,2931_30BenzeneEthene090
,,,,,,,,,,,,,,,,,,1,0,,2932_30BenzeneEthene095
,,,,,,,,,,,,,,,,,,1,0,,2933_30BenzeneEthene100
,,,,,,,,,,,,,,,,,,1,0,,2934_30BenzeneEthene105
,,,,,,,,,,,,,,,,,,1,0,,2935_30BenzeneEthene110
,,,,,,,,,,,,,,,,,,1,0,,2936_30BenzeneEthene125
,,,,,,,,,,,,,,,,,,1,0,,2937_30BenzeneEthene150
,,,,,,,,,,,,,,,,,,1,0,,2938_30BenzeneEthene200
,,,,,,,,,,,,,,,,,,1,0,,2939_31UracilEthene090
,,,,,,,,,,,,,,,,,,1,0,,2940_31UracilEthene095
,,,,,,,,,,,,,,,,,,1,0,,2941_31UracilEthene100
,,,,,,,,,,,,,,,,,,1,0,,2942_31UracilEthene105
,,,,,,,,,,,,,,,,,,1,0,,2943_31UracilEthene110
,,,,,,,,,,,,,,,,,,1,0,,2944_31UracilEthene125
,,,,,,,,,,,,,,,,,,1,0,,2945_31UracilEthene150
,,,,,,,,,,,,,,,,,,1,0,,2946_31UracilEthene200
,,,,,,,,,,,,,,,,,,1,0,,2947_32UracilEthyne090
,,,,,,,,,,,,,,,,,,1,0,,2948_32UracilEthyne095
,,,,,,,,,,,,,,,,,,1,0,,2949_32UracilEthyne100
,,,,,,,,,,,,,,,,,,1,0,,2950_32UracilEthyne105
,,,,,,,,,,,,,,,,,,1,0,,2951_32UracilEthyne110
,,,,,,,,,,,,,,,,,,1,0,,2952_32UracilEthyne125
,,,,,,,,,,,,,,,,,,1,0,,2953_32UracilEthyne150
,,,,,,,,,,,,,,,,,,1,0,,2954_32UracilEthyne200
,,,,,,,,,,,,,,,,,,1,0,,2955_33PyridineEthene090
,,,,,,,,,,,,,,,,,,1,0,,2956_33PyridineEthene095
,,,,,,,,,,,,,,,,,,1,0,,2957_33PyridineEthene100
,,,,,,,,,,,,,,,,,,1,0,,2958_33PyridineEthene105
